id,name,score,url,address
434333,北京唯实酒店(唯实国际文化交流中心),4.7,/hotel/434333.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6,海淀区学院路39号，近北京航空航天大学东门。 （ 中关村、五道口）
928851,北京丽都皇冠假日酒店,4.7,/hotel/928851.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7,朝阳区将台路6号，与京密路交汇处。 （ 望京、酒仙桥、798地区）
2083684,北京云瑧金陵莲花酒店(原世纪莲花酒店),4.7,/hotel/2083684.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8,丰台区莲花池南路1号院1号楼，近西客站南广场。 （ 北京西站、丽泽商务区）
374776,北京华彬费尔蒙酒店,4.7,/hotel/374776.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9,朝阳区建国门外街永安东里8号，近长安街。 （ 国贸地区）
429505,北京东隅酒店,4.7,/hotel/429505.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10,朝阳区酒仙桥路22号，近酒仙桥。 （ 望京、酒仙桥、798地区）
391655,北京JW万豪酒店,4.7,/hotel/391655.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11,朝阳区华贸中心建国路83号，近新光天地。 （ 国贸地区）
467314,北京工大建国饭店,4.7,/hotel/467314.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12,"朝阳区平乐园100号，北京工业大学南门,出门即是地铁14号线北工大站,打车到国贸周边起步即到,近大望路建国路国贸桥。 （ 劲松、潘家园地区国贸地区）"
7492873,北京新国贸饭店,4.7,/hotel/7492873.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13,朝阳区建国门外大街一号，近国贸3期B座。 （ 国贸地区）
387045,北京金融街威斯汀大酒店,4.7,/hotel/387045.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14,西城区金融大街丙9号，近月坛北桥。 （ 西单、金融街地区）
393315,北京丽思卡尔顿酒店(华贸中心),4.7,/hotel/393315.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15,朝阳区华贸中心建国路甲83号，近新光天地。 （ 国贸地区）
378583,北京中国大饭店,4.7,/hotel/378583.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16,朝阳区建国门外大街1号，近国际贸易中心。 （ 国贸地区）
430265,北京新云南皇冠假日酒店,4.7,/hotel/430265.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17,朝阳区东北三环西坝河太阳宫桥东北角云南大厦。 （ 国展中心地区）
